ID,ChangeSetID,TimeStamp,ReplicationTime,User,Cube,Tuple,OldValue,NewValue,StatusMessage
1352,15B,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mBudget Upload Validation', '12345']",WRITE,READ,
1351,15A,2022-08-17T16:55:47Z,,,,,,,Change set 15A complete : 1
1350,15A,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mBudget Planning Upload History', 'Test123']",,READ,
1349,159,2022-08-17T16:55:47Z,,,,,,,Change set 159 complete : 1
1348,159,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mBudget Planning Upload History', '12345']",WRITE,READ,
1347,158,2022-08-17T16:55:47Z,,,,,,,Change set 158 complete : 1
1346,158,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mBudget Planning Upload', 'Test123']",,READ,
1345,157,2022-08-17T16:55:47Z,,,,,,,Change set 157 complete : 1
1344,157,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mBudget Planning Upload', '12345']",WRITE,READ,
1343,156,2022-08-17T16:55:47Z,,,,,,,Change set 156 complete : 1
1342,156,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mBudget Planning', 'Test123']",,READ,
1341,155,2022-08-17T16:55:47Z,,,,,,,Change set 155 complete : 1
1340,155,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mBudget Planning', '12345']",WRITE,READ,
1339,154,2022-08-17T16:55:47Z,,,,,,,Change set 154 complete : 1
1338,154,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_m_HierarchyManagement', 'Test123']",,READ,
1337,153,2022-08-17T16:55:47Z,,,,,,,Change set 153 complete : 1
1336,153,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_m_HierarchyManagement', '12345']",,READ,
1335,152,2022-08-17T16:55:47Z,,,,,,,Change set 152 complete : 1
1334,152,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Hierarchy_Scenario', 'Test123']",,READ,
1333,151,2022-08-17T16:55:47Z,,,,,,,Change set 151 complete : 1
1332,151,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Hierarchy_Scenario', '12345']",,READ,
1331,150,2022-08-17T16:55:47Z,,,,,,,Change set 150 complete : 1
1330,150,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Hierarchy_Rows', 'Test123']",,READ,
1329,14f,2022-08-17T16:55:47Z,,,,,,,Change set 14f complete : 1
1328,14f,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Hierarchy_Rows', '12345']",,READ,
1327,14e,2022-08-17T16:55:47Z,,,,,,,Change set 14e complete : 1
1326,14e,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Hierarchy_Alternates', 'Test123']",,READ,
